0;#;FORM;LEMMA;POS;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;RIGHTLEMMA;AUTO_LEMMA;AUTO_POS;AUTO_GRAM
42960;;него;ОН;SPRO;sg 3p m gen;;; // у него еще игрушки тут;о;г;е;н;;;Н;ОН;SPRO;sg 3p m acc
42961;;еще;ЕЩЕ;ADV;-;;;// у него еще игрушки тут специальные;е;щ;е;;;;Е;ЕЩЕ;ADV;-
42962;;игрушки;ИГРУШКА;S;f inan nom pl;;;у него еще игрушки тут специальные //;и;к;ш;у;р;г;А;ИГРУШКА;S;f inan acc pl
42963;;тут;ТУТ;ADVPRO;-;;;него еще игрушки тут специальные // я;т;у;т;;;;Т;ТУТ;ADV;-
42964;;специальные;СПЕЦИАЛЬНЫЙ;A;- nom pl plen - -;;;еще игрушки тут специальные // я хочу;е;ы;н;ь;л;а;Й;СПЕЦИАЛЬНЫЙ;A;- nom pl plen - -
42965;;//;//;PUNCT;_;;;игрушки тут специальные // я хочу в;/;/;;;;;/;//;PUNCT;_
42966;;я;Я;SPRO;sg 1p - nom;;;тут специальные // я хочу в следующей;я;;;;;;Я;Я;SPRO;sg 1p - nom
42967;;хочу;ХОТЕТЬ;V;ipf praes sg indic - 1p;;;специальные // я хочу в следующей жизни;у;ч;о;х;;;Ь;ХОТЕТЬ;V;ipf praes sg indic - 1p
42968;;в;В;PR;PR;;;// я хочу в следующей жизни быть;в;;;;;;В;В;PR;PR
42969;;следующей;СЛЕДУЮЩИЙ;A;- loc sg plen f -;;;я хочу в следующей жизни быть котом;й;е;щ;ю;у;д;Й;СЛЕДУЮЩИЙ;A;- loc sg plen f -
42970;;жизни;ЖИЗНЬ;S;f inan loc sg;;;хочу в следующей жизни быть котом я;и;н;з;и;ж;;Ь;ЖИЗНЬ;S;f inan loc sg
42971;;быть;БЫТЬ;V;ipf - - inf - -;;;в следующей жизни быть котом я становлюсь;ь;т;ы;б;;;Ь;БЫТЬ;V;ipf - - inf - -
42972;;котом;КОТ;S;m anim ins sg;;;следующей жизни быть котом я становлюсь э;м;о;т;о;к;;Т;КОТ;S;m anim ins sg
42973;;я;Я;SPRO;sg 1p - nom;;;жизни быть котом я становлюсь э /;я;;;;;;Я;Я;SPRO;sg 1p - nom
42974;;становлюсь;СТАНОВИТЬСЯ;V;ipf praes sg indic - 1p;;;быть котом я становлюсь э / как;ь;с;ю;л;в;о;Я;СТАНОВИТЬСЯ;V;ipf praes sg indic - 1p
42975;;э;Э;INTJ;INTJ;;;котом я становлюсь э / как он;э;;;;;;Э;Э;S;- - nonflex nonflex
42976;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42977;;как;КАК;CONJ;CONJ;;;становлюсь э / как он иудаистом /;к;а;к;;;;К;КАК;CONJ;CONJ
42978;;он;ОН;SPRO;sg 3p m nom;;;э / как он иудаистом / полу...;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
42979;;иудаистом;ИУДАИСТ;S;m anim ins sg;;;/ как он иудаистом / полу... индуистом;м;о;т;с;и;а;Т;ИУДАИСТ;S;m anim ins sg
42980;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42981;;полу;ПОЛ;S;m inan dat sg;distinct form;;он иудаистом / полу... индуистом // индуизм;.;.;.;у;л;о;Л;ПОЛ...;S;m inan dat sg
42982;;индуистом;ИНДУИСТ;S;m anim ins pl;;;иудаистом / полу... индуистом // индуизм ;м;о;т;с;и;у;Т;ИНДУИСТ;S;m anim nom pl
42983;;//;//;PUNCT;_;;;/ полу... индуистом // индуизм  соответственно;/;/;;;;;/;//;PUNCT;_
42984;;индуизм;ИНДУИЗМ;S;m inan nom sg;;;полу... индуистом // индуизм  соответственно ;м;з;и;у;д;н;М;ИНДУИЗМ;S;m inan acc sg
42985;"<distinct form=""савесна"">";;;;;;;;;;;;;;;;;
42986;;соответственно;СООТВЕТСТВЕННО;PARENTH; -;;;// индуизм  соответственно  / да;о;н;н;е;в;т;О;СООТВЕТСТВЕННО;CONJ;CONJ
42987;</distinct>;;;;;;;;;;;;;;;;;
42988;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42989;;да;ДА;CONJ;CONJ;;;соответственно  / да / индуистом /;а;д;;;;;А;ДА;CONJ;CONJ
42990;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42991;;индуистом;ИНДУИСТ;S;m anim nom sg;;;/ да / индуистом / чтобы в;м;о;т;с;и;у;Т;ИНДУИСТ;S;m anim ins sg
42992;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
42993;;чтобы;ЧТОБЫ;CONJ;CONJ;;;/ индуистом / чтобы в следующем жизни;ы;б;о;т;ч;;Ы;ЧТОБЫ;CONJ;CONJ
42994;;в;В;PR;PR;;;индуистом / чтобы в следующем жизни стать;в;;;;;;В;В;PR;PR
42995;;следующем;СЛЕДУЮЩИЙ;A;- loc sg plen m -;;;/ чтобы в следующем жизни стать котом;м;е;щ;ю;у;д;Й;СЛЕДУЮЩИЙ;A;- loc sg plen m -
42996;;жизни;ЖИЗНЬ;S;f inan loc sg;;;чтобы в следующем жизни стать котом /;и;н;з;и;ж;;Ь;ЖИЗНЬ;S;f inan gen sg
42997;;стать;СТАТЬ;V;ipf - - inf - -;;;в следующем жизни стать котом / животным;ь;т;а;т;с;;Ь;СТАТЬ;S;f inan acc sg
42998;;котом;КОТ;S;m anim ins sg;;;следующем жизни стать котом / животным ;м;о;т;о;к;;Т;КОТ;S;m anim ins sg
42999;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43000;;животным;ЖИВОТНОЕ;S;n anim ins pl;;;стать котом / животным  каким-нибудь ;м;ы;н;т;о;в;Е;ЖИВОТНОЕ;S;n anim dat pl
43001;"<distinct form=""какимнить"">";;;;;;;;;;;;;;;;;
43002;;каким-нибудь;КАКОЙ-НИБУДЬ;APRO;m - ins sg ;;;/ животным  каким-нибудь  // эм;ь;д;у;б;и;н;Ь;КАКОЙ-НИБУДЬ;A;- ins sg plen m -
43003;</distinct>;;;;;;;;;;;;;;;;;
43004;;//;//;PUNCT;_;;; каким-нибудь  // эм / что;/;/;;;;;/;//;PUNCT;_
43005;;эм;ЭМ;INTJ;INTJ;;;каким-нибудь  // эм / что может;м;э;;;;;М;ЭМ;S;n inan nonflex nonflex
43006;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43007;;что;ЧТО;CONJ;CONJ;;;// эм / что может быть /;о;т;ч;;;;О;ЧТО;CONJ;CONJ
43008;;может;МОЧЬ;V;ipf praes sg indic - 3p;;;эм / что может быть / лучше;т;е;ж;о;м;;Ь;МОЧЬ;V;ipf praes sg indic - 3p
43009;;быть;БЫТЬ;V;ipf - - inf - -;;;/ что может быть / лучше /;ь;т;ы;б;;;Ь;БЫТЬ;V;ipf - - inf - -
43010;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43011;;лучше;ХОРОШИЙ;A;comp - - plen - -;;;может быть / лучше / чем быть;е;ш;ч;у;л;;Й;ХОРОШИЙ;A;comp - - plen - -
43012;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43013;;чем;ЧЕМ;CONJ;CONJ;;;/ лучше / чем быть котом ?;м;е;ч;;;;М;ЧЕМ;CONJ;CONJ
43014;;быть;БЫТЬ;V;ipf - - inf - -;;;лучше / чем быть котом ? а;ь;т;ы;б;;;Ь;БЫТЬ;V;ipf - - inf - -
43015;;котом;КОТ;S;m anim ins sg;;;/ чем быть котом ? а я;м;о;т;о;к;;Т;КОТ;S;m anim ins sg
43016;;?;?;PUNCT;;;;чем быть котом ? а я тебе;?;;;;;;?;?;SENT;
43017;;;;;;;;;;;;;;;;;;
43018;"<speech role=""Вр@"" />";;;;;;;;;;;;;;;;;
43019;;а;А;CONJ;CONJ;;;быть котом ? а я тебе говорю;а;;;;;;А;А;CONJ;CONJ
43020;;я;Я;SPRO;sg 1p - nom;;;котом ? а я тебе говорю //;я;;;;;;Я;Я;SPRO;sg 1p - nom
43021;;тебе;ТЫ;SPRO;sg 2p - dat;;;? а я тебе говорю // вс...;е;б;е;т;;;Ы;ТЫ;SPRO;sg 2p - loc
43022;;говорю;ГОВОРИТЬ;V;ipf praes sg indic - 1p;;;а я тебе говорю // вс... у;ю;р;о;в;о;г;Ь;ГОВОРИТЬ;V;ipf praes sg indic - 1p
43023;;//;//;PUNCT;;;;я тебе говорю // вс... у тебя;/;/;;;;;/;//;PUNCT;
43024;;;;;;;;;;;;;;;;;;
43025;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
43026;;вс;ВС;S;m inan nonflex nonflex;distinct form;;тебе говорю // вс... у тебя есть;.;.;.;с;в;;С;ВС...;S;m inan nonflex nonflex
43027;;у;У;PR;PR;;;говорю // вс... у тебя есть чесалка;у;;;;;;У;У;PR;PR
43028;;тебя;ТЫ;SPRO;sg 2p - acc;;;// вс... у тебя есть чесалка /;я;б;е;т;;;Ы;ТЫ;SPRO;sg 2p - acc
43029;;есть;БЫТЬ;V;ipf praes sg indic - 3p;;;вс... у тебя есть чесалка / когда;ь;т;с;е;;;Ь;БЫТЬ;V;ipf praes sg indic - 3p
43030;;чесалка;ЧЕСАЛКА;S;f inan nom sg;;;у тебя есть чесалка / когда ;а;к;л;а;с;е;А;ЧЕСАЛКА;S;f inan nom sg
43031;"<distinct form=""ката"">";;;;;;;;;;;;;;;;;
43032;;/;/;PUNCT;;;;;/;;;;;;/;/;/;
43033;;когда;КОГДА;ADVPRO;-;;;есть чесалка / когда  ты хочешь;а;д;г;о;к;;А;КОГДА;ADV;-
43034;</distinct>;;;;;;;;;;;;;;;;;
43035;;ты;ТЫ;SPRO;sg 2p - nom;;;/ когда  ты хочешь почесать себе;ы;т;;;;;Ы;ТЫ;SPRO;sg 2p - nom
43036;;хочешь;ХОТЕТЬ;V;ipf praes sg indic - 2p;;;когда  ты хочешь почесать себе брюшко;ь;ш;е;ч;о;х;Ь;ХОТЕТЬ;V;ipf praes sg indic - 2p
43037;;почесать;ПОЧЕСАТЬ;V;pf - - inf - -;;; ты хочешь почесать себе брюшко /;ь;т;а;с;е;ч;Ь;ПОЧЕСАТЬ;V;pf - - inf - -
43038;;себе;СЕБЯ;SPRO;- - - loc;;;ты хочешь почесать себе брюшко / у;е;б;е;с;;;Я;СЕБЯ;SPRO;- - - loc
43039;;брюшко;БРЮШКО;S;n inan acc sg;;;хочешь почесать себе брюшко / у тебя;о;к;ш;ю;р;б;О;БРЮШКО;S;n inan nom sg
43040;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43041;"<distinct form=""тя"">";;;;;;;;;;;;;;;;;
43042;;у;У;PR;;;;себе брюшко / у тебя  шерсть;у;;;;;;У;У;PR;
43043;;тебя;ТЫ;SPRO;sg 2p - acc;;;брюшко / у тебя  шерсть твою;я;б;е;т;;;Ы;ТЫ;SPRO;sg 2p - acc
43044;</distinct>;;;;;;;;;;;;;;;;;
43045;;шерсть;ШЕРСТЬ;S;f inan acc sg;;;у тебя  шерсть твою в итоге;ь;т;с;р;е;ш;Ь;ШЕРСТЬ;S;f inan nom sg
43046;;твою;ТВОЙ;APRO;f - acc sg ;;;тебя  шерсть твою в итоге вяжут;ю;о;в;т;;;Й;ТВОЙ;A;- acc sg plen f -
43047;;в;В;PR;PR;;; шерсть твою в итоге вяжут ;в;;;;;;В;В;PR;PR
43048;;итоге;ИТОГ;S;m inan loc sg;;;шерсть твою в итоге вяжут  это;е;г;о;т;и;;Г;ИТОГ;S;m inan loc sg
43049;;вяжут;ВЯЗАТЬ;V;ipf praes pl indic - 3p;;;твою в итоге вяжут  это ;т;у;ж;я;в;;Ь;ВЯЗАТЬ;V;ipf praes pl indic - 3p
43050;"<distinct form=""эт"">";;;;;;;;;;;;;;;;;
43051;;это;ЭТО;INTJ;INTJ;;;итоге вяжут  это  как шарфик;о;т;э;;;;О;ЭТО;S;n - acc sg
43052;</distinct>;;;;;;;;;;;;;;;;;
43053;;как;КАК;CONJ;CONJ;;; это  как шарфик / обнимается;к;а;к;;;;К;КАК;CONJ;CONJ
43054;;шарфик;ШАРФИК;S;m inan acc sg;;;это  как шарфик / обнимается //;к;и;ф;р;а;ш;К;ШАРФИК;S;m inan nom sg
43055;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43056;;обнимается;ОБНИМАТЬСЯ;V;ipf praes sg indic - 3p;;;как шарфик / обнимается // ты думаешь;я;с;т;е;а;м;Я;ОБНИМАТЬСЯ;V;ipf praes sg indic - 3p
43057;;//;//;PUNCT;_;;;шарфик / обнимается // ты думаешь эхе;/;/;;;;;/;//;PUNCT;_
43058;;ты;ТЫ;SPRO;sg 2p - nom;;;/ обнимается // ты думаешь эхе //;ы;т;;;;;Ы;ТЫ;SPRO;sg 2p - nom
43059;;думаешь;ДУМАТЬ;V;ipf praes sg indic - 2p;;;обнимается // ты думаешь эхе // а;ь;ш;е;а;м;у;Ь;ДУМАТЬ;V;ipf praes sg indic - 2p
43060;;эхе;ЭХО;INTJ;INTJ;;;// ты думаешь эхе // а потом;е;х;э;;;;О;ЭХО;S;n inan loc sg
43061;;//;//;PUNCT;_;;;ты думаешь эхе // а потом ааа;/;/;;;;;/;//;PUNCT;_
43062;;а;А;CONJ;CONJ;;;думаешь эхе // а потом ааа вот;а;;;;;;А;А;CONJ;CONJ
43063;;потом;ПОТОМ;ADVPRO;-;;;эхе // а потом ааа вот эта;м;о;т;о;п;;М;ПОТОМ;ADV;-
43064;;ааа;ААА;INTJ;INTJ;;;// а потом ааа вот эта игрушечка;а;а;а;;;;А;ААА;S;m inan nonflex nonflex
43065;;вот;ВОТ;PART;PART;;;а потом ааа вот эта игрушечка //;т;о;в;;;;Т;ВОТ;PART;PART
43066;;эта;ЭТОТ;APRO;f - nom sg;;;потом ааа вот эта игрушечка // ты;а;т;э;;;;Т;ЭТОТ;A;- nom sg plen f -
43067;;игрушечка;ИГРУШЕЧКА;S;f inan nom sg;;;ааа вот эта игрушечка // ты можешь;а;к;ч;е;ш;у;А;ИГРУШЕЧКА;S;f inan nom sg
43068;;//;//;PUNCT;_;;;вот эта игрушечка // ты можешь есть;/;/;;;;;/;//;PUNCT;_
43069;;ты;ТЫ;SPRO;sg 2p - nom;;;эта игрушечка // ты можешь есть мышей;ы;т;;;;;Ы;ТЫ;SPRO;sg 2p - nom
43070;;можешь;МОЧЬ;V;ipf praes sg indic - 2p;;;игрушечка // ты можешь есть мышей //;ь;ш;е;ж;о;м;Ь;МОЧЬ;V;ipf praes sg indic - 2p
43071;;есть;ЕСТЬ;V;ipf - - inf - -;;;// ты можешь есть мышей // хищник;ь;т;с;е;;;Ь;ЕСТЬ;V;ipf - - inf - -
43072;;мышей;МЫШЬ;S;f anim acc pl;;;ты можешь есть мышей // хищник ;й;е;ш;ы;м;;Ь;МЫШЬ;S;f anim acc pl
43073;;//;//;PUNCT;_;;;можешь есть мышей // хищник  ;/;/;;;;;/;//;PUNCT;_
43074;;хищник;ХИЩНИК;S;m anim nom sg;;;есть мышей // хищник   что;к;и;н;щ;и;х;К;ХИЩНИК;S;m anim nom sg
43075;;;;;;;;;;;;;;;;;;
43076;"<speech role=""Вр@"" />";;;;;;;;;;;;;;;;;
43077;;что;ЧТО;CONJ;CONJ;;;хищник   что кот какой-то шокированный;о;т;ч;;;;О;ЧТО;CONJ;CONJ
43078;;кот;КОТ;S;m anim nom sg;;;  что кот какой-то шокированный /;т;о;к;;;;Т;КОТ;S;m anim nom sg
43079;;какой-то;КАКОЙ-ТО;APRO;m - nom sg;;; что кот какой-то шокированный / происходящим;о;т;-;й;о;к;О;КАКОЙ-ТО;A;- nom sg plen m -
43080;;шокированный;ШОКИРОВАТЬ;PARTCP;pf praet acc sg plen m pass inan;;;что кот какой-то шокированный / происходящим ;й;ы;н;н;а;в;Ь;ШОКИРОВАТЬ;PARTCP;pf praet acc sg plen m pass inan
43081;"<class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
43082;;/;/;PUNCT;;;;;/;;;;;;/;/;/;
43083;;происходящим;ПРОИСХОДИТЬ;S;inan n sg loc;;;какой-то шокированный / происходящим   реклама;м;и;щ;я;д;о;Ь;ПРОИСХОДИТЬ;PARTCP;ipf inpraes dat pl plen - act -
43084;;;;;;;;;;;;;;;;;;
43085;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
43086;;реклама;РЕКЛАМА;S;f inan nom sg;;;происходящим   реклама даж... даже в;а;м;а;л;к;е;А;РЕКЛАМА;S;f inan nom sg
43087;;даж;ДАЖ;S;m inan acc sg;distinct form;;  реклама даж... даже в рекламе;.;.;.;ж;а;д;Ж;ДАЖ...;S;m inan acc sg
43088;;даже;ДАЖЕ;CONJ;CONJ;;; реклама даж... даже в рекламе э;е;ж;а;д;;;Е;ДАЖЕ;CONJ;CONJ
43089;;в;В;PR;PR;;;реклама даж... даже в рекламе э супергаджетов;в;;;;;;В;В;PR;PR
43090;;рекламе;РЕКЛАМА;S;f inan loc sg;;;даж... даже в рекламе э супергаджетов для;е;м;а;л;к;е;А;РЕКЛАМА;S;f inan loc sg
43091;;э;Э;INTJ;INTJ;;;даже в рекламе э супергаджетов для котов;э;;;;;;Э;Э;S;f inan nonflex nonflex
43092;;супергаджетов;СУПЕРГАДЖЕТ;S;m inan gen pl;;;в рекламе э супергаджетов для котов реклама;в;о;т;е;ж;д;Т;СУПЕРГАДЖЕТ;S;m inan gen pl
43093;;для;ДЛЯ;PR;PR;;;рекламе э супергаджетов для котов реклама /;я;л;д;;;;Я;ДЛЯ;PR;PR
43094;;котов;КОТ;S;m anim gen pl;;;э супергаджетов для котов реклама / э;в;о;т;о;к;;Т;КОТ;S;m anim gen pl
43095;;реклама;РЕКЛАМА;S;f inan nom sg;;;супергаджетов для котов реклама / э для;а;м;а;л;к;е;А;РЕКЛАМА;S;f inan nom sg
43096;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43097;;э;Э;INTJ;INTJ;;;котов реклама / э для людей он;э;;;;;;Э;Э;S;- - nonflex nonflex
43098;;для;ДЛЯ;PR;PR;;;реклама / э для людей он даже;я;л;д;;;;Я;ДЛЯ;PR;PR
43099;;людей;ЧЕЛОВЕК;S;m anim gen pl;;;/ э для людей он даже здесь;й;е;д;ю;л;;К;ЧЕЛОВЕК;S;m anim gen pl
43100;;он;ОН;SPRO;sg 3p m nom;;;э для людей он даже здесь умедрился;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
43101;;даже;ДАЖЕ;PART;PART;;;для людей он даже здесь умедрился /;е;ж;а;д;;;Е;ДАЖЕ;PART;PART
43102;;здесь;ЗДЕСЬ;ADV;-;;;людей он даже здесь умедрился / что;ь;с;е;д;з;;Ь;ЗДЕСЬ;ADV;-
43103;;умедрился;УМЕДРИТЬСЯ;V;pf praet sg indic m -;опечатка в расшифровке ;;он даже здесь умедрился / что с;я;с;л;и;р;д;Я;УМЕДРИТЬСЯ;V;pf praet sg indic m -
43104;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43105;;что;ЧТО;CONJ;CONJ;;;здесь умедрился / что с вискасом они;о;т;ч;;;;О;ЧТО;CONJ;CONJ
43106;;с;С;PR;PR;;;умедрился / что с вискасом они /;с;;;;;;С;С;PR;PR
43107;;вискасом;ВИСКАС;S;m inan loc sg;;;/ что с вискасом они / разыгрывают;м;о;с;а;к;с;С;ВИСКАС;S;m inan loc sg
43108;;они;ОНИ;SPRO;pl - - nom;;;что с вискасом они / разыгрывают это;и;н;о;;;;И;ОНИ;SPRO;pl - - nom
43109;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43110;;разыгрывают;РАЗЫГРЫВАТЬ;V;ipf praes pl indic - 3p;;;вискасом они / разыгрывают это // боже;т;ю;а;в;ы;р;Ь;РАЗЫГРЫВАТЬ;V;ipf praes pl indic - 3p
43111;;это;ЭТО;SPRO;n - acc sg;;;они / разыгрывают это // боже мой;о;т;э;;;;О;ЭТО;S;n - acc sg
43112;"<class=""note"">вздыхает</span>";;;;;;;;;;;;;;;;;
43113;;//;//;PUNCT;;;;/ разыгрывают это // боже мой //;/;/;;;;;/;//;PUNCT;
43114;;боже;БОЖЕ;INTJ;INTJ;;;разыгрывают это // боже мой // реклама;е;ж;о;б;;;Е;БОЖЕ;S;m anim voc sg
43115;;мой;МОЙ;INTJ;INTJ;;;это // боже мой // реклама //;й;о;м;;;;Й;МОЙ;A;- nom sg plen m -
43116;;//;//;PUNCT;_;;;// боже мой // реклама // ну;/;/;;;;;/;//;PUNCT;_
43117;;реклама;РЕКЛАМА;S;f inan nom sg;;;боже мой // реклама // ну что;а;м;а;л;к;е;А;РЕКЛАМА;S;f inan nom sg
43118;"<class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
43119;;//;//;PUNCT;;;;мой // реклама // ну что это;/;/;;;;;/;//;PUNCT;
43120;;ну;НУ;PART;PART;;;// реклама // ну что это такое;у;н;;;;;У;НУ;PART;PART
43121;;что;ЧТО;CONJ;CONJ;;;реклама // ну что это такое ?;о;т;ч;;;;О;ЧТО;CONJ;CONJ
43122;;это;ЭТО;SPRO;n - nom sg;;;// ну что это такое ? ;о;т;э;;;;О;ЭТО;S;n - nom sg
43123;;такое;ТАКОЙ;APRO;n - nom sg;;;ну что это такое ?  /;е;о;к;а;т;;Й;ТАКОЙ;A;- nom sg plen n -
43124;;?;?;PUNCT;SENT;;;что это такое ?  / здесь;?;;;;;;?;?;SENT;SENT
43125;;;;;;;;;;;;;;;;;;
43126;"<distinct form=""есь"">";;;;;;;;;;;;;;;;;
43127;;/;/;PUNCT;;;;;/;;;;;;/;/;/;
43128;;здесь;ЗДЕСЬ;ADV;-;;;?  / здесь  тоннель /;ь;с;е;д;з;;Ь;ЗДЕСЬ;ADV;-
43129;</distinct>;;;;;;;;;;;;;;;;;
43130;;тоннель;ТОННЕЛЬ;S;m inan acc sg;;;/ здесь  тоннель / специальный /;ь;л;е;н;н;о;Ь;ТОННЕЛЬ;S;m inan acc sg
43131;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43132;;специальный;СПЕЦИАЛЬНЫЙ;A;- nom sg plen m -;;; тоннель / специальный / для кота;й;ы;н;ь;л;а;Й;СПЕЦИАЛЬНЫЙ;A;- nom sg plen m -
43133;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43134;;для;ДЛЯ;PR;PR;;;/ специальный / для кота / и;я;л;д;;;;Я;ДЛЯ;PR;PR
43135;;кота;КОТ;S;m anim gen sg;;;специальный / для кота / и он;а;т;о;к;;;Т;КОТ;S;m anim acc sg
43136;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43137;;и;И;CONJ;CONJ;;;для кота / и он угадайте в;и;;;;;;И;И;CONJ;CONJ
43138;;он;ОН;SPRO;sg 3p m nom;;;кота / и он угадайте в форме;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
43139;;угадайте;УГАДАТЬ;V;pf - pl imper - 2p;;;/ и он угадайте в форме чего;е;т;й;а;д;а;Ь;УГАДАТЬ;V;pf - pl imper - 2p
43140;;в;В;PR;PR;;;и он угадайте в форме чего /;в;;;;;;В;В;PR;PR
43141;;форме;ФОРМА;S;f inan loc sg;;;он угадайте в форме чего / естественно;е;м;р;о;ф;;А;ФОРМА;S;f inan loc sg
43142;;чего;ЧТО;SPRO;n - gen sg;;;угадайте в форме чего / естественно ;о;г;е;ч;;;О;ЧТО;S;n - gen sg
43143;"<distinct form=""естесна"">";;;;;;;;;;;;;;;;;
43144;;/;/;PUNCT;;;;;/;;;;;;/;/;/;
43145;;естественно;ЕСТЕСТВЕННО;ADV;-;;;форме чего / естественно  в форме;о;н;н;е;в;т;О;ЕСТЕСТВЕННО;ADV;-
43146;</distinct>;;;;;;;;;;;;;;;;;
43147;;в;В;PR;PR;;;/ естественно  в форме спиннера //;в;;;;;;В;В;PR;PR
43148;;форме;ФОРМА;S;f inan loc sg;;;естественно  в форме спиннера // куда;е;м;р;о;ф;;А;ФОРМА;S;f inan loc sg
43149;;спиннера;СПИННЕР;S;m anim gen sg;;; в форме спиннера // куда как бы;а;р;е;н;н;и;Р;СПИННЕР;S;m anim acc sg
43150;;//;//;PUNCT;_;;;в форме спиннера // куда как бы без;/;/;;;;;/;//;PUNCT;_
43151;;куда;КУДА;ADVPRO;-;;;форме спиннера // куда как бы без тоннеля;а;д;у;к;;;А;КУДА;ADV;-
43152;;как бы;как бы;ADV;-;;;спиннера // куда как бы без тоннеля в;ы;б; ;к;а;к;ы;как бы;ADV;-
43153;;без;БЕЗ;PR;PR;;;// куда как бы без тоннеля в форме;з;е;б;;;;З;БЕЗ;PR;PR
43154;;тоннеля;ТОННЕЛЬ;S;m inan gen sg;;;куда как бы без тоннеля в форме спиннера;я;л;е;н;н;о;Ь;ТОННЕЛЬ;S;m inan gen sg
43155;;в;В;PR;PR;;;как бы без тоннеля в форме спиннера ?;в;;;;;;В;В;PR;PR
43156;;форме;ФОРМА;S;f inan loc sg;;;без тоннеля в форме спиннера ? ;е;м;р;о;ф;;А;ФОРМА;S;f inan loc sg
43157;;спиннера;СПИННЕР;S;m anim gen sg;;;тоннеля в форме спиннера ?  /;а;р;е;н;н;и;Р;СПИННЕР;S;m anim acc sg
43158;;?;?;PUNCT;SENT;;;в форме спиннера ?  / тренд;?;;;;;;?;?;SENT;SENT
43159;;;;;;;;;;;;;;;;;;
43160;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43161;;тренд;ТРЕНД;S;m inan acc sg;;;?  / тренд кошачий // боже;д;н;е;р;т;;Д;ТРЕНД;S;m inan acc sg
43162;;кошачий;КОШАЧИЙ;A; - nom sg plen m inan ;;; / тренд кошачий // боже мой;й;и;ч;а;ш;о;Й;КОШАЧИЙ;A;- acc sg plen m inan
43163;"<class=""note"">смеется</span>";;;;;;;;;;;;;;;;;
43164;;//;//;PUNCT;;;;/ тренд кошачий // боже мой /;/;/;;;;;/;//;PUNCT;
43165;;боже;БОЖЕ;INTJ;INTJ;;;тренд кошачий // боже мой / там;е;ж;о;б;;;Е;БОЖЕ;INTJ;INTJ
43166;;мой;МОЙ;INTJ;INTJ;;;кошачий // боже мой / там хомяк;й;о;м;;;;Й;МОЙ;A;- nom sg plen m -
43167;;/;/;PUNCT;;;;;/;;;;;;/;/;/;/
43168;;там;ТАМ;PART;PART;;;боже мой / там хомяк был //;м;а;т;;;;М;ТАМ;PART;PART
43169;;хомяк;ХОМЯК;S;m anim nom sg;;;мой / там хомяк был // живой;к;я;м;о;х;;К;ХОМЯК;S;m anim nom sg
43170;;был;БЫТЬ;V;ipf praet sg indic m -;;;/ там хомяк был // живой ?;л;ы;б;;;;Ь;БЫТЬ;V;ipf praet sg indic m -
43171;;//;//;PUNCT;;;;там хомяк был // живой ? ;/;/;;;;;/;//;PUNCT;
43172;;;;;;;;;;;;;;;;;;
43173;"<speech role=""Вр@"" />";;;;;;;;;;;;;;;;;
43174;;живой;ЖИВОЙ;A; - nom sg plen m -;;;хомяк был // живой ?  /;й;о;в;и;ж;;Й;ЖИВОЙ;A;- nom sg plen m -
43175;;?;?;PUNCT;SENT;;;был // живой ?  / ну;?;;;;;;?;?;SENT;SENT
43176;;;;;;;;;;;;;;;;;;
43177;;/;/;PUNCT;;;;;/;;;;;;/;/;/;
43178;;;;;;;;;;;;;;;;;;
43179;"<speech role=""Вл@"" />";;;;;;;;;;;;;;;;;
43180;;ну;НУ;PART;PART;;;?  / ну он ко ...;у;н;;;;;У;НУ;PART;PART
43181;;он;ОН;SPRO;sg 3p m nom;;; / ну он ко ... ;н;о;;;;;Н;ОН;SPRO;sg 3p m nom
43182;;ко;КО;PR;PR;;;/ ну он ко ...  /;о;к;;;;;О;КО;PR;PR
